danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,caracteristicas_id
0.694,0.825,1,-5.986,1,0.111,0.0895,1.86e-05,0.0618,0.788,121.949,919
0.621,0.923,2,-3.124,0,0.0321,0.00645,7.28e-05,0.108,0.716,127.973,920
0.867,0.857,9,-5.892,1,0.0663,0.13,0.00171,0.13,0.402,130.048,921
0.865,0.69,7,-7.448,1,0.0443,0.285,0.0162,0.225,0.867,121.983,922
0.762,0.692,5,-3.973,0,0.0438,0.113,0.0,0.094,0.397,114.906,923
0.491,0.956,11,-1.538,1,0.392,0.0295,0.0,0.46,0.811,173.585,924
0.529,0.948,0,-3.527,1,0.0474,0.258,9.35e-06,0.283,0.65,146.024,925
0.677,0.523,7,-5.603,0,0.0439,0.295,0.0,0.15,0.446,60.019,926
0.762,0.702,0,-5.87,1,0.0432,0.0167,0.0,0.314,0.898,127.029,927
0.493,0.808,5,-3.365,0,0.0362,0.000235,0.0,0.0983,0.38,117.971,928
0.607,0.783,7,-4.41,1,0.0397,0.000683,0.0,0.0678,0.434,113.172,929
0.632,0.924,1,-1.802,1,0.29,0.281,0.0,0.263,0.441,86.844,930
0.696,0.921,0,-3.755,1,0.0363,0.00314,5.24e-05,0.0842,0.714,119.001,931
0.375,0.862,11,-3.363,0,0.255,0.071,0.0,0.211,0.478,159.841,932
0.924,0.853,2,-1.203,1,0.0792,0.107,1.45e-06,0.129,0.67,114.003,933
0.624,0.977,11,-3.34,0,0.22,0.00615,0.0,0.253,0.74,126.127,934
0.893,0.666,10,-5.089,0,0.138,0.0206,0.0,0.342,0.874,107.011,935
0.48,0.486,6,-5.754,0,0.0447,0.046,0.0,0.107,0.265,80.051,936
0.546,0.712,3,-3.104,0,0.0269,0.000969,0.0,0.406,0.489,150.154,937
0.617,0.778,9,-8.871,0,0.027,0.459,0.925,0.128,0.152,100.363,938
0.657,0.695,2,-4.493,1,0.0321,0.0108,0.0,0.0822,0.683,65.997,939
0.661,0.584,1,-5.09,1,0.061,0.00293,4.82e-06,0.134,0.0949,159.873,940
0.675,0.862,11,-4.614,1,0.0253,0.0165,0.000427,0.169,0.498,129.967,941
0.739,0.741,7,-5.873,1,0.0912,0.013,0.0,0.0679,0.727,122.988,942
0.758,0.712,7,-3.781,1,0.112,0.0185,0.0,0.0677,0.795,149.998,943
0.516,0.874,9,-2.571,1,0.186,0.0864,0.0,0.173,0.391,169.561,944
0.614,0.792,6,-4.907,1,0.0299,0.0653,0.0,0.195,0.407,91.066,945
0.581,0.824,0,-3.912,0,0.0377,0.0105,0.0,0.483,0.747,114.912,946
0.451,0.873,3,-4.711,0,0.19,0.171,0.0,0.327,0.589,119.918,947
0.894,0.93,11,-4.577,1,0.0712,0.0355,0.0,0.0759,0.968,120.02,948
0.791,0.713,5,-3.742,0,0.254,0.0163,0.0,0.189,0.514,130.012,949
0.657,0.941,8,-3.919,0,0.061,0.0476,0.0,0.0797,0.879,136.202,950
0.756,0.612,5,-4.371,1,0.0317,0.0659,0.0,0.274,0.452,111.572,951
0.74,0.945,0,-4.442,0,0.0889,0.123,0.0,0.112,0.629,130.015,952
0.67,0.866,1,-3.684,1,0.0538,0.0115,0.0,0.358,0.636,140.029,953
0.44,0.517,0,-7.355,1,0.363,0.428,0.0,0.173,0.475,73.881,954
0.457,0.906,5,-2.278,0,0.342,0.249,0.0,0.182,0.54,104.02,955
0.605,0.902,10,-5.406,0,0.0511,0.0185,1.01e-06,0.0534,0.875,132.612,956
0.76,0.524,1,-7.67,0,0.0323,0.0542,0.5,0.112,0.112,119.603,957
0.557,0.783,6,-4.893,0,0.234,0.0171,0.0172,0.151,0.442,177.008,958
0.789,0.55,11,-7.423,0,0.0473,0.174,0.0,0.0614,0.696,172.049,959
0.615,0.711,11,-5.507,1,0.0779,0.0444,0.0,0.145,0.711,144.036,960
0.719,0.861,5,-6.982,1,0.0402,0.0447,0.00989,0.219,0.948,121.491,961
0.713,0.746,0,-4.99,1,0.259,0.0402,0.0,0.601,0.47,135.021,962
0.839,0.804,1,-2.513,1,0.0329,0.0192,0.0,0.331,0.888,122.973,963
0.871,0.701,5,-5.594,0,0.0458,0.257,7.52e-06,0.0589,0.716,126.975,964
0.594,0.874,0,-3.716,1,0.0815,0.0116,0.0,0.549,0.628,119.964,965
0.485,0.911,3,-5.749,1,0.0355,8.67e-05,0.0,0.092,0.568,89.956,966
0.674,0.882,3,-2.771,0,0.0477,0.000441,6.47e-05,0.068,0.682,123.016,967
0.525,0.742,10,-5.643,1,0.0311,0.0874,0.149,0.117,0.179,117.029,968
0.597,0.684,7,-6.614,1,0.0321,0.00481,0.105,0.317,0.435,130.99,969
0.691,0.853,1,-2.528,0,0.0372,0.0631,7.13e-05,0.082,0.762,145.999,970
0.673,0.614,7,-5.426,1,0.103,0.0782,0.0,0.139,0.362,176.052,971
0.629,0.969,8,-0.276,0,0.0455,0.00184,0.0,0.122,0.905,150.01,972
0.602,0.905,2,-4.046,1,0.0775,0.000202,0.064,0.117,0.411,128.019,973
0.536,0.89,0,-5.222,1,0.0601,0.000354,0.00165,0.133,0.205,115.998,974
0.57,0.717,1,-4.914,1,0.029,0.00967,0.0,0.0833,0.321,111.91,975
0.68,0.687,9,-6.162,0,0.0709,0.0161,0.0,0.261,0.467,150.053,976
0.545,0.918,0,-1.925,1,0.0448,0.0571,0.0,0.0415,0.855,117.985,977
0.426,0.584,1,-5.293,1,0.296,0.0383,0.0,0.188,0.272,193.437,978
0.44,0.976,10,-3.17,1,0.141,0.00177,3.39e-06,0.16,0.412,150.005,979
0.672,0.62,8,-4.865,1,0.0422,0.123,0.0,0.362,0.627,78.005,980
0.516,0.764,2,-6.223,1,0.0366,0.0717,0.0,0.115,0.376,148.021,981
0.705,0.783,5,-5.971,0,0.0327,0.0703,0.0,0.36,0.656,140.022,982
0.616,0.596,4,-5.035,1,0.0289,0.654,0.0,0.218,0.58,137.077,983
0.23,0.492,8,-5.767,1,0.0317,0.568,8.18e-06,0.176,0.262,160.139,984
0.661,0.847,10,-6.948,1,0.0404,0.419,8.82e-05,0.107,0.522,134.002,985
0.542,0.905,9,-5.653,1,0.054,0.00172,0.0104,0.136,0.374,153.398,986
0.431,0.894,5,-2.673,0,0.33,0.0951,0.0,0.188,0.605,162.161,987
0.209,0.872,9,-2.996,1,0.0757,0.217,0.0,0.0768,0.294,78.139,988
0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,989
0.613,0.634,2,-3.472,1,0.0339,0.0178,0.0,0.0639,0.37,144.953,990
0.731,0.644,0,-5.348,1,0.0343,0.665,0.0,0.11,0.691,129.94,991
0.268,0.742,5,-4.939,1,0.0355,0.0518,0.0,0.626,0.416,159.779,992
0.588,0.877,8,-4.78,1,0.16,0.00952,0.0,0.171,0.645,155.165,993
0.687,0.771,6,-4.424,1,0.0384,0.164,2.46e-05,0.112,0.445,129.964,994
0.46,0.796,0,-4.501,0,0.0333,0.00107,0.0,0.106,0.182,100.011,995
0.713,0.826,8,-4.075,1,0.243,0.0897,0.0,0.421,0.664,86.444,996
0.524,0.878,5,-3.108,0,0.0346,0.0012,0.0,0.098,0.59,130.989,997
0.526,0.882,9,-4.006,1,0.0509,0.0014,0.0,0.144,0.424,144.982,998
0.517,0.492,5,-8.05,1,0.0272,0.0275,3.19e-05,0.0873,0.455,138.585,999
0.338,0.803,8,-5.412,0,0.0413,0.0187,0.0,0.136,0.4,151.994,1000
0.635,0.841,5,-5.379,1,0.0422,0.0134,0.0,0.0622,0.424,109.021,1001
0.749,0.925,10,-5.034,1,0.227,0.241,0.0,0.52,0.641,86.989,1002
0.696,0.921,0,-3.755,1,0.0363,0.00314,5.24e-05,0.0842,0.714,119.001,1003
0.791,0.59,1,-9.206,0,0.0793,0.0994,0.00203,0.065,0.714,119.951,1004
0.755,0.837,2,-2.718,0,0.142,0.0991,0.0,0.289,0.714,120.028,1005
0.546,0.916,8,-3.932,1,0.255,0.00144,4.34e-06,0.251,0.375,129.983,1006
0.751,0.783,4,-3.724,1,0.0859,0.00379,0.0,0.036,0.816,119.975,1007
0.789,0.716,11,-4.241,0,0.0432,0.129,1.07e-05,0.069,0.611,125.906,1008
0.791,0.754,0,-3.729,1,0.0569,0.00446,0.0,0.163,0.425,125.014,1009
0.729,0.675,5,-5.292,0,0.0286,4.14e-05,0.00126,0.0867,0.74,125.036,1010
0.817,0.939,7,-6.079,0,0.28,0.0798,0.441,0.431,0.599,128.0,1011
0.435,0.837,3,-8.126,1,0.449,0.00676,0.0,0.117,0.778,124.913,1012
0.615,0.913,10,-5.077,0,0.0816,0.178,0.0,0.0773,0.45,129.944,1013
0.769,0.922,1,-1.966,1,0.108,0.000939,0.197,0.233,0.506,127.965,1014
0.622,0.942,7,-6.365,1,0.112,0.00713,0.0,0.0715,0.773,130.003,1015
0.567,0.707,8,-5.455,0,0.0818,0.541,0.000176,0.1,0.751,171.917,1016
0.531,0.574,10,-6.693,0,0.113,0.114,0.0308,0.256,0.272,115.68,1017
0.451,0.948,0,-0.74,1,0.147,0.255,0.0,0.392,0.295,176.985,1018
0.799,0.783,1,-3.896,0,0.0322,0.0346,0.0186,0.0757,0.586,127.041,1019
0.607,0.934,3,-4.217,1,0.0314,0.0327,0.0,0.0909,0.568,122.01,1020
0.597,0.517,0,-6.963,1,0.365,0.179,0.0,0.307,0.412,92.035,1021
0.804,0.976,1,-2.458,0,0.0445,0.00023,0.894,0.125,0.237,125.997,1022
0.855,0.954,0,-1.19,0,0.264,0.529,0.0,0.205,0.668,114.635,1023
0.623,0.793,11,-6.63,0,0.0462,0.000397,0.0015,0.375,0.36,98.998,1024
0.563,0.75,11,-4.496,1,0.127,0.113,0.0,0.0788,0.812,173.906,1025
0.708,0.771,5,-6.99,0,0.131,0.209,5.32e-06,0.277,0.494,128.013,1026
0.605,0.795,11,-6.086,0,0.0712,0.00153,0.0,0.207,0.263,139.896,1027
0.816,0.813,6,-7.798,0,0.0664,0.0662,2.77e-06,0.602,0.436,127.979,1028
0.395,0.876,11,-3.859,0,0.138,0.0173,8.46e-06,0.362,0.567,124.638,1029
0.733,0.673,9,-6.572,0,0.0333,0.0132,0.0049,0.16,0.636,125.061,1030
0.692,0.736,1,-5.109,1,0.11,0.0324,0.0,0.0787,0.217,73.987,1031
0.663,0.861,7,-3.398,0,0.109,0.0338,0.0,0.082,0.654,119.963,1032
0.706,0.751,9,-6.323,1,0.0708,0.173,0.0,0.168,0.195,91.031,1033
0.616,0.869,0,-3.911,1,0.0327,0.0283,0.0,0.064,0.473,127.966,1034
0.72,0.607,1,-4.168,1,0.0322,0.0543,0.0,0.113,0.828,121.223,1035
0.76,0.595,1,-6.366,1,0.0391,0.00544,0.0,0.241,0.361,131.497,1036
0.656,0.931,7,-4.188,1,0.0981,0.0613,0.0,0.219,0.534,91.881,1037
0.498,0.59,1,-4.721,0,0.032,0.511,0.0,0.107,0.0784,145.867,1038
0.63,0.91,11,-2.919,0,0.144,0.0287,0.0,0.196,0.743,116.98,1039
0.768,0.82,7,-4.63,0,0.0474,0.179,0.0,0.689,0.625,129.965,1040
0.824,0.836,3,-5.903,1,0.0404,0.00521,0.000817,0.112,0.716,122.014,1041
0.901,0.805,6,-5.005,1,0.0464,0.0712,0.0812,0.0923,0.737,124.996,1042
0.31,0.746,1,-3.599,1,0.111,0.0121,0.0,0.649,0.163,182.032,1043
0.693,0.891,1,-3.261,1,0.296,0.0281,0.0,0.143,0.532,91.1,1044
0.438,0.672,11,-4.706,0,0.0429,0.0055,0.0,0.0583,0.457,185.934,1045
0.845,0.601,1,-5.283,1,0.161,0.0205,0.0,0.385,0.329,74.008,1046
0.652,0.605,8,-7.371,1,0.0393,0.00481,0.0,0.0605,0.394,126.091,1047
0.648,0.942,10,-2.881,0,0.0878,0.021,0.0,0.0594,0.73,129.007,1048
0.515,0.837,11,-2.552,1,0.0401,0.0868,0.0,0.0403,0.52,126.026,1049
0.781,0.745,4,-5.81,0,0.0332,0.198,1.14e-05,0.36,0.326,129.998,1050
0.703,0.81,4,-4.874,0,0.0424,0.000315,0.0,0.216,0.726,102.978,1051
0.657,0.695,2,-4.493,1,0.0321,0.0108,0.0,0.0822,0.683,65.997,1052
0.47,0.904,0,-4.024,0,0.177,0.0436,0.0,0.0491,0.557,155.788,1053
0.682,0.889,0,-4.166,1,0.0804,0.00564,0.0,0.36,0.827,138.021,1054
0.728,0.859,5,-5.237,0,0.137,0.0401,0.0,0.111,0.535,65.043,1055
0.846,0.438,11,-4.981,1,0.141,0.2,9.43e-05,0.0939,0.512,85.013,1056
0.736,0.929,7,-5.89,0,0.0674,0.00237,1.11e-05,0.402,0.658,125.03,1057
0.625,0.699,0,-6.416,1,0.0729,0.13,0.0,0.238,0.717,75.974,1058
0.785,0.498,1,-6.977,1,0.0533,0.00248,1.23e-06,0.224,0.418,143.96,1059
0.752,0.836,10,-3.173,1,0.115,0.0843,0.000425,0.424,0.519,120.003,1060
0.544,0.781,10,-3.616,1,0.189,0.014,0.0,0.161,0.277,150.1,1061
0.762,0.748,0,-4.15,0,0.033,0.0266,0.0,0.348,0.851,110.009,1062
0.84,0.482,6,-7.116,0,0.0333,0.202,0.0,0.0873,0.957,95.498,1063
0.66,0.867,6,-4.285,0,0.116,0.11,0.0,0.0368,0.377,93.033,1064
0.624,0.723,1,-6.782,1,0.378,0.172,0.0,0.483,0.757,84.789,1065
0.531,0.752,1,-6.161,1,0.0305,0.0421,0.0,0.12,0.103,89.917,1066
0.692,0.786,2,-2.959,1,0.069,0.23,0.0,0.0797,0.583,100.025,1067
0.599,0.624,8,-3.631,1,0.0343,0.385,0.0,0.125,0.539,90.034,1068
0.514,0.83,11,-6.077,0,0.044,0.0378,1.43e-06,0.122,0.138,100.631,1069
0.724,0.87,1,-3.614,0,0.113,0.00453,0.0,0.833,0.81,93.01,1070
0.615,0.711,11,-5.507,1,0.0779,0.0444,0.0,0.145,0.711,144.036,1071
0.325,0.848,7,-5.611,1,0.279,0.0109,0.0,0.124,0.433,100.093,1072
0.61,0.836,5,-4.455,1,0.0573,0.00374,0.0,0.358,0.657,126.056,1073
0.72,0.538,3,-5.85,0,0.141,0.301,3.03e-06,0.144,0.815,147.007,1074
0.639,0.862,10,-3.292,1,0.0341,0.049,6.81e-06,0.264,0.596,117.011,1075
0.855,0.668,11,-4.892,1,0.0644,0.0242,0.0,0.102,0.803,125.846,1076
0.59,0.698,11,-4.262,1,0.0286,0.000176,0.0,0.107,0.352,95.975,1077
0.376,0.841,3,-4.348,0,0.356,0.0435,0.0,0.578,0.463,76.052,1078
0.689,0.615,8,-5.022,0,0.0563,0.352,0.0,0.0789,0.783,134.036,1079
0.826,0.612,1,-3.891,1,0.0982,0.00681,0.0,0.0889,0.756,120.057,1080
0.504,0.814,5,-5.346,0,0.0389,0.135,1.42e-05,0.324,0.596,149.967,1081
0.625,0.613,6,-6.005,0,0.173,0.0209,0.0,0.0286,0.738,96.033,1082
0.442,0.83,9,-4.02,1,0.146,0.128,0.0,0.129,0.578,89.338,1083
0.55,0.753,6,-4.003,0,0.0407,0.000665,7.74e-06,0.0921,0.841,139.048,1084
0.637,0.69,9,-3.214,0,0.0693,0.417,0.0,0.211,0.103,140.329,1085
0.733,0.664,8,-6.163,1,0.295,0.102,0.0,0.191,0.557,148.005,1086
0.688,0.853,10,-5.814,1,0.0493,0.386,0.0,0.0862,0.743,103.993,1087
0.719,0.798,10,-4.582,1,0.0361,0.0162,2.34e-06,0.134,0.591,120.011,1088
0.458,0.905,0,-4.157,1,0.0451,0.000431,0.0,0.378,0.553,176.667,1089
0.633,0.673,6,-6.403,0,0.258,0.297,0.0,0.206,0.659,86.776,1090
0.512,0.662,3,-6.797,1,0.0439,0.0275,0.0,0.118,0.472,180.114,1091
0.484,0.368,6,-7.784,1,0.0341,0.74,3.82e-05,0.118,0.142,92.923,1092
0.581,0.717,4,-4.433,1,0.0318,0.0298,0.000186,0.243,0.316,107.884,1093
0.529,0.67,2,-4.663,1,0.0303,0.117,0.0,0.334,0.286,141.893,1094
0.482,0.829,5,-5.576,1,0.0437,0.00034,0.0,0.378,0.739,147.99,1095
0.589,0.893,0,-2.948,1,0.0397,0.0273,0.0,0.343,0.94,92.011,1096
0.443,0.683,2,-5.521,1,0.0343,0.0198,5.26e-06,0.313,0.447,81.986,1097
0.687,0.865,6,-4.663,1,0.0349,0.0743,0.225,0.0966,0.261,117.015,1098
0.606,0.497,4,-6.611,1,0.0277,0.348,0.0,0.275,0.362,130.739,1099
0.549,0.932,8,-4.11,0,0.343,0.0127,0.0,0.347,0.787,82.439,1100
0.73,0.77,8,-5.114,1,0.0298,0.138,0.0,0.0473,0.507,104.948,1101
0.722,0.761,11,-4.459,0,0.0475,0.0117,0.0,0.315,0.624,128.044,1102
0.751,0.736,5,-4.168,0,0.156,0.0206,0.0,0.265,0.352,130.014,1103
0.638,0.832,8,-5.039,1,0.049,0.141,0.0,0.113,0.648,124.071,1104
0.704,0.558,2,-7.273,0,0.0542,0.148,0.0,0.107,0.245,110.444,1105
0.595,0.912,10,-3.428,0,0.0884,0.0434,0.0,0.259,0.762,128.024,1106
0.726,0.931,11,-4.152,0,0.0468,0.0218,0.000283,0.143,0.797,126.976,1107
0.675,0.602,11,-4.733,0,0.116,0.00377,0.0,0.0458,0.933,127.938,1108
0.73,0.777,3,-5.194,0,0.0496,0.105,0.000478,0.0691,0.575,130.0,1109
0.767,0.682,1,-5.02,1,0.042,0.0113,0.00016,0.104,0.833,127.975,1110
0.753,0.729,11,-3.862,0,0.0392,0.00334,5.66e-05,0.073,0.812,120.013,1111
0.813,0.732,7,-5.636,1,0.03,0.0597,0.00137,0.0826,0.731,130.02,1112
0.672,0.907,8,-5.069,0,0.0721,0.0048,3.4e-05,0.156,0.746,128.027,1113
0.551,0.893,7,-2.628,1,0.0543,0.00166,0.0,0.348,0.794,125.083,1114
0.578,0.857,4,-3.78,0,0.041,0.00548,0.00162,0.0948,0.188,126.979,1115
0.659,0.628,0,-8.685,0,0.179,0.186,0.0,0.105,0.262,94.05,1116
0.666,0.876,3,-3.078,1,0.0414,0.055,0.0,0.259,0.552,129.884,1117
0.786,0.709,9,-5.737,0,0.0395,0.0192,0.00118,0.0845,0.285,122.019,1118
0.671,0.939,8,-3.206,1,0.161,0.191,0.0,0.298,0.53,129.024,1119
0.858,0.678,1,-3.87,0,0.0469,0.0761,0.0,0.0741,0.922,117.009,1120
0.684,0.834,2,-4.524,0,0.0675,0.0646,0.0,0.271,0.538,164.02,1121
0.62,0.869,1,-5.252,1,0.175,0.0181,0.0,0.369,0.76,151.684,1122
0.696,0.546,5,-6.55,1,0.0414,0.00379,3.8e-06,0.332,0.787,130.002,1123
0.646,0.795,9,-3.293,1,0.0976,0.0319,0.0,0.267,0.796,89.99,1124
0.799,0.783,1,-3.896,0,0.0322,0.0346,0.0186,0.0757,0.586,127.041,1125
0.648,0.89,0,-3.982,0,0.0523,0.0294,3.58e-06,0.116,0.321,125.953,1126
0.7,0.598,2,-7.783,1,0.114,0.0369,0.0,0.111,0.594,160.041,1127
0.926,0.808,11,-3.148,0,0.0599,0.000915,0.00327,0.0515,0.701,127.998,1128
0.843,0.881,9,-3.951,1,0.0581,0.14,0.0,0.0765,0.876,110.621,1129
0.707,0.861,7,-4.225,1,0.316,0.1,0.0,0.191,0.795,130.021,1130
0.668,0.857,7,-2.944,0,0.0535,0.0191,6.71e-06,0.0385,0.748,131.959,1131
0.663,0.843,2,-3.672,1,0.049,0.0491,0.0,0.364,0.375,140.036,1132
0.31,0.926,6,-1.131,0,0.0464,0.0184,0.00792,0.483,0.493,139.85,1133
0.76,0.595,1,-6.366,1,0.0391,0.00544,0.0,0.241,0.361,131.497,1134
0.446,0.9,10,-3.541,0,0.0489,0.000102,1.89e-05,0.0404,0.88,187.961,1135
0.507,0.729,11,-5.399,0,0.0393,0.0182,1.4e-06,0.0658,0.272,105.013,1136
0.693,0.705,8,-5.747,1,0.0665,0.0228,0.0,0.202,0.45,131.951,1137
0.54,0.856,0,-3.966,0,0.1,0.109,0.0,0.276,0.258,153.071,1138
0.671,0.808,2,-4.861,0,0.0652,0.02,0.0,0.134,0.637,121.956,1139
0.449,0.585,5,-6.761,1,0.0268,0.0509,8.75e-05,0.0833,0.212,139.631,1140
0.649,0.815,3,-3.796,0,0.0415,0.00125,4.31e-05,0.671,0.765,126.03,1141
0.603,0.67,2,-3.882,0,0.0249,0.00408,1.66e-06,0.112,0.445,107.995,1142
0.594,0.946,3,-4.521,1,0.452,0.0869,0.0,0.306,0.397,155.826,1143
0.364,0.752,2,-5.429,1,0.304,0.0007,0.0,0.318,0.606,79.119,1144
0.413,0.807,11,-3.499,0,0.318,0.0536,0.0,0.631,0.438,149.33,1145
0.767,0.677,11,-6.128,0,0.184,0.0339,5.51e-06,0.144,0.538,146.155,1146
0.664,0.845,4,-6.115,0,0.0461,0.181,0.0,0.267,0.357,96.005,1147
0.722,0.851,7,-3.873,0,0.0639,0.0319,0.0,0.108,0.452,126.885,1148
0.736,0.817,8,-4.9,1,0.0407,0.00987,0.00167,0.117,0.653,119.95,1149
0.744,0.672,9,-5.589,0,0.0418,0.187,0.000123,0.105,0.266,140.889,1150
0.735,0.766,1,-4.485,1,0.0383,0.025,0.00138,0.108,0.6,127.985,1151
0.66,0.797,5,-6.096,0,0.0262,0.00646,0.000108,0.187,0.674,110.955,1152
0.687,0.939,10,-4.372,0,0.146,0.0887,0.0,0.283,0.539,104.029,1153
0.705,0.882,11,-3.201,0,0.0445,0.000369,1.16e-06,0.0934,0.7,130.0,1154
0.507,0.665,0,-7.598,1,0.0474,0.0144,0.0,0.0759,0.4,126.879,1155
0.531,0.803,1,-3.284,1,0.0717,0.0796,1.71e-05,0.176,0.221,142.113,1156
0.684,0.607,11,-8.127,0,0.1,0.0267,0.000307,0.191,0.498,81.001,1157
0.392,0.839,7,-1.921,1,0.193,0.158,0.0,0.3,0.232,168.001,1158
0.692,0.786,2,-2.959,1,0.069,0.23,0.0,0.0797,0.583,100.025,1159
0.415,0.775,5,-6.366,0,0.161,0.0658,0.00431,0.0843,0.536,127.898,1160
0.578,0.926,6,-3.689,0,0.0548,0.00472,0.0127,0.14,0.877,149.976,1161
0.656,0.752,11,-5.522,0,0.0434,0.336,0.0,0.223,0.445,100.963,1162
0.45,0.846,9,-4.712,0,0.0472,0.00523,0.0,0.228,0.402,140.042,1163
0.415,0.934,6,-2.914,0,0.24,0.078,0.0,0.145,0.52,190.151,1164
0.682,0.927,4,-2.915,1,0.0479,0.0843,0.0,0.149,0.744,101.019,1165
0.753,0.88,4,-4.689,0,0.0806,0.087,0.0,0.24,0.794,115.057,1166
0.587,0.828,11,-5.108,1,0.161,0.00327,0.0,0.331,0.494,123.907,1167
0.72,0.861,11,-4.339,1,0.209,0.269,5.11e-06,0.601,0.669,126.991,1168
0.636,0.901,1,-7.094,0,0.118,0.119,0.0,0.391,0.836,162.994,1169
0.779,0.963,2,-2.125,0,0.0399,0.0334,0.493,0.664,0.759,127.941,1170
0.608,0.614,2,-3.727,1,0.0285,0.227,4.06e-06,0.157,0.402,127.884,1171
0.733,0.71,5,-5.849,0,0.0292,0.145,0.115,0.0956,0.965,127.975,1172
0.636,0.566,6,-7.16,0,0.106,0.365,0.000353,0.0917,0.425,151.894,1173
0.636,0.831,5,-3.945,1,0.182,0.0294,3.85e-06,0.272,0.668,175.015,1174
0.678,0.739,2,-5.068,1,0.0352,0.32,2.36e-06,0.116,0.658,127.037,1175
0.523,0.805,3,-5.473,1,0.192,0.0524,0.0,0.0914,0.602,125.358,1176
0.634,0.69,6,-7.804,1,0.052,0.0771,0.0,0.132,0.645,94.988,1177
0.676,0.695,0,-8.327,1,0.245,0.352,0.0,0.119,0.144,90.268,1178
0.794,0.711,8,-5.124,0,0.0699,0.3,0.0,0.0955,0.955,174.915,1179
0.591,0.889,7,-3.839,1,0.115,0.0189,0.0,0.155,0.65,143.067,1180
0.537,0.611,0,-6.427,1,0.0304,0.229,0.0,0.146,0.161,105.955,1181
0.668,0.718,1,-4.736,0,0.0605,0.0165,0.0,0.104,0.345,91.993,1182
0.554,0.321,9,-8.251,1,0.028,0.893,0.0,0.0996,0.288,135.047,1183
0.683,0.734,4,-4.523,0,0.029,0.00112,0.0139,0.258,0.576,106.254,1184
0.666,0.87,11,-5.004,0,0.246,0.203,0.0,0.0851,0.9,160.014,1185
0.563,0.671,7,-4.788,1,0.0373,0.0422,0.0,0.36,0.45,91.964,1186
0.481,0.849,4,-5.131,1,0.0385,0.00167,1.49e-06,0.121,0.723,205.57,1187
0.583,0.768,9,-6.477,1,0.041,0.000323,0.0162,0.109,0.357,127.952,1188
0.593,0.639,1,-5.826,1,0.0307,0.446,0.0,0.0998,0.332,142.881,1189
0.686,0.783,4,-4.977,1,0.119,0.0764,0.0,0.163,0.814,99.978,1190
0.56,0.936,3,-5.835,1,0.0439,0.00847,0.0,0.161,0.371,112.96,1191
0.425,0.732,9,-6.883,1,0.0396,0.00194,0.0103,0.171,0.333,117.98,1192
0.545,0.649,6,-4.062,1,0.0324,0.143,1.57e-05,0.0894,0.297,99.099,1193
0.7,0.709,7,-5.006,1,0.0838,0.0048,0.0,0.029,0.624,122.019,1194
0.349,0.348,3,-6.142,1,0.0316,0.726,0.0,0.12,0.0886,74.541,1195
0.621,0.82,10,-4.865,1,0.0367,0.332,0.0,0.104,0.452,144.905,1196
0.606,0.497,4,-6.611,1,0.0277,0.348,0.0,0.275,0.362,130.739,1197
0.644,0.661,11,-6.093,1,0.0418,0.000177,5.23e-06,0.108,0.272,153.992,1198
0.597,0.115,9,-9.217,1,0.0334,0.82,0.000215,0.111,0.128,111.202,1199
0.421,0.407,10,-7.445,1,0.0267,0.309,0.000961,0.11,0.161,139.028,1200
0.735,0.766,1,-4.485,1,0.0383,0.025,0.00138,0.108,0.6,127.985,1201
0.783,0.58,7,-6.548,1,0.0408,0.0114,2.28e-06,0.108,0.66,120.021,1202
0.378,0.638,10,-5.576,1,0.075,0.02,7.66e-05,0.0849,0.735,184.086,1203
0.718,0.776,7,-5.208,0,0.0693,0.000624,5.3e-06,0.207,0.622,120.015,1204
0.67,0.855,0,-3.035,0,0.0499,0.0124,0.0,0.335,0.648,120.05,1205
0.736,0.824,8,-4.231,1,0.0672,0.00358,0.000921,0.329,0.443,124.954,1206
0.346,0.552,0,-6.864,0,0.0282,0.417,0.0,0.114,0.0789,75.881,1207
0.704,0.793,8,-2.266,1,0.0591,0.0488,0.0,0.575,0.412,127.96,1208
0.719,0.847,0,-6.34,0,0.0916,0.00201,0.0204,0.223,0.444,127.963,1209
0.789,0.858,1,-5.542,1,0.311,0.127,0.0,0.349,0.775,140.022,1210
0.716,0.821,5,-3.435,0,0.0314,0.0558,0.0,0.0844,0.618,92.997,1211
0.716,0.972,7,-2.302,1,0.196,0.0145,3.22e-05,0.317,0.576,110.026,1212
0.637,0.732,7,-6.209,0,0.0965,0.244,0.0,0.498,0.68,128.108,1213
0.747,0.937,0,-5.746,1,0.0453,0.0208,0.0,0.29,0.739,103.976,1214
0.535,0.796,0,-3.446,0,0.0445,0.00473,0.0,0.145,0.282,128.954,1215
0.492,0.857,7,-2.634,1,0.0655,0.0841,7.82e-06,0.344,0.393,129.973,1216
0.728,0.858,9,-3.686,1,0.0609,0.0403,4.09e-06,0.0241,0.591,125.055,1217
0.716,0.485,1,-7.745,1,0.404,0.123,2.69e-05,0.604,0.26,74.132,1218
0.66,0.689,4,-2.671,0,0.0337,0.0884,0.0,0.0922,0.427,127.98,1219
0.563,0.496,6,-9.381,0,0.406,0.0685,5.8e-05,0.173,0.426,139.993,1220
